192.168.43.98 - - [23/May/2018:06:16:57 +0000] "GET /MyApp HTTP/1.1" 302 -
192.168.43.98 - - [23/May/2018:06:16:58 +0000] "GET /MyApp/ HTTP/1.1" 200 1457
192.168.43.98 - - [23/May/2018:06:16:58 +0000] "GET /MyApp/assets/css/estilos.css HTTP/1.1" 200 1768
192.168.43.98 - - [23/May/2018:06:16:58 +0000] "GET /MyApp/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
192.168.43.98 - - [23/May/2018:06:16:58 +0000] "GET /MyApp/assets/img/castelo.jpg HTTP/1.1" 200 553562
192.168.43.98 - - [23/May/2018:06:16:59 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.43.98 - - [23/May/2018:06:17:46 +0000] "GET /MyApp/about.html HTTP/1.1" 200 2676
192.168.43.98 - - [23/May/2018:06:17:46 +0000] "GET /MyApp/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:17:46 +0000] "GET /MyApp/assets/css/estilos.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:17:46 +0000] "GET /MyApp/assets/img/empresa.jpg HTTP/1.1" 200 327325
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/ourprojects.html HTTP/1.1" 200 3232
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/assets/img/projetos/casa-castelo.png HTTP/1.1" 200 499579
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/assets/img/projetos/casa-lago.png HTTP/1.1" 200 62386
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/assets/img/projetos/palacio-dionisio.png HTTP/1.1" 200 554090
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/assets/img/projetos/mercado-marapira.png HTTP/1.1" 200 558346
192.168.43.98 - - [23/May/2018:06:17:50 +0000] "GET /MyApp/assets/img/projetos/residencia-ludi.png HTTP/1.1" 200 595782
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/testimonies.html HTTP/1.1" 200 4210
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/assets/img/depoimentos/depoimento3.png HTTP/1.1" 200 5415107
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/assets/js/testimonies.js HTTP/1.1" 200 1005
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/assets/img/depoimentos/depoimento1.png HTTP/1.1" 200 3236968
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/assets/img/depoimentos/depoimento2.png HTTP/1.1" 200 922597
192.168.43.98 - - [23/May/2018:06:17:52 +0000] "GET /MyApp/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
192.168.43.98 - - [23/May/2018:06:29:34 +0000] "GET /MyApp/ourprojects.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:29:34 +0000] "GET /MyApp/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:29:34 +0000] "GET /MyApp/assets/css/estilos.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:29:34 +0000] "GET /MyApp/assets/img/projetos/casa-castelo.png HTTP/1.1" 304 -
